Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
17454,Normal/Others,WS/MP346/2024-2025/182720-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),MML NEAR ST.GEMMAS CHURCH AT VILAVOORKAL GRAMA PANCHAYATH,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/182720,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,MML NEAR ST.GEMMAS CHURCH AT VILAVOORKAL GRAMA PANCHAYATH,True
17455,Normal/Others,WS/MP346/2024-2025/178159-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Installation of MML near Near Elakamon Homeo Hospital ward-15 in Elakamon Grama Panchayath,Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,124304.88,WS/MP346/2024-2025/178159,Normal/Others,124304.88,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,Installation of MML near Near Elakamon Homeo Hospital ward-15 in Elakamon Grama Panchayath,True
17456,Normal/Others,WS/MP346/2024-2025/178202-Lighting of public spaces,Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),"Installation of MML at near Thiruvavarakunnath Sree Bhagavathy Temple,Kulamuttam  in Manamboor",Adv Adoor Prakash,ATTINGAL,Images,29-Sep-2025,128173.18,WS/MP346/2024-2025/178202,Normal/Others,128173.18,2025-09-29,KERALA,ATTINGAL,ADV ADOOR PRAKASH,"Installation of MML at near Thiruvavarakunnath Sree Bhagavathy Temple,Kulamuttam  in Manamboor",True
17457,Normal/Others,WS/MP18184/2025-2026/161790-Construction of community centers and community halls,Tamil Nadu,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),Construction of new Cultural building( Nadaga Medai),THANGA TAMILSELVAN,THENI,Images,29-Sep-2025,614879.03,WS/MP18184/2025-2026/161790,Normal/Others,614879.03,2025-09-29,TAMIL NADU,THENI,THANGA TAMILSELVAN,Construction of new Cultural building( Nadaga Medai),True
17458,Normal/Others,WS/MP18312/2025-2026/154890-Construction of additional rooms and halls in the existing public and community building,Tamil Nadu,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),Construction of PDS centre at Ward no: 43 at KK Nagar Burma Colony in TCC (2024-25).,DURAI VAIKO,TIRUCHIRAPPALLI,,29-Sep-2025,939029.08,WS/MP18312/2025-2026/154890,Normal/Others,939029.08,2025-09-29,TAMIL NADU,TIRUCHIRAPPALLI,DURAI VAIKO,Construction of PDS centre at Ward no: 43 at KK Nagar Burma Colony in TCC (2024-25).,False
17459,Normal/Others,WS/MP18182/2025-2026/202643-Purchase of hospital equipment,Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),"Providing and Supply of Medical Equipment to Kuruvikulam Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",DR RANI SRI KUMAR,TENKASI(SC),Images,03-Oct-2025,511933.62,WS/MP18182/2025-2026/202643,Normal/Others,511933.62,2025-10-03,TAMIL NADU,TENKASI(SC),DR RANI SRI KUMAR,"Providing and Supply of Medical Equipment to Kuruvikulam Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",True
17460,Normal/Others,WS/MP18182/2025-2026/202642-Purchase of hospital equipment,Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),"Providing and Supply of Medical Equipment to Chockampatti Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",DR RANI SRI KUMAR,TENKASI(SC),Images,03-Oct-2025,511933.62,WS/MP18182/2025-2026/202642,Normal/Others,511933.62,2025-10-03,TAMIL NADU,TENKASI(SC),DR RANI SRI KUMAR,"Providing and Supply of Medical Equipment to Chockampatti Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",True
17461,Normal/Others,WS/MP18182/2025-2026/202645-Purchase of hospital equipment,Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),"Providing and Supply of Medical Equipment to Vasudevanallur Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",DR RANI SRI KUMAR,TENKASI(SC),Images,03-Oct-2025,511933.62,WS/MP18182/2025-2026/202645,Normal/Others,511933.62,2025-10-03,TAMIL NADU,TENKASI(SC),DR RANI SRI KUMAR,"Providing and Supply of Medical Equipment to Vasudevanallur Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",True
17462,Normal/Others,WS/MP18182/2025-2026/202646-Purchase of hospital equipment,Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),"Providing and Supply of Medical Equipment to Karivalamvanthanallur Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",DR RANI SRI KUMAR,TENKASI(SC),Images,03-Oct-2025,511933.62,WS/MP18182/2025-2026/202646,Normal/Others,511933.62,2025-10-03,TAMIL NADU,TENKASI(SC),DR RANI SRI KUMAR,"Providing and Supply of Medical Equipment to Karivalamvanthanallur Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",True
17463,Normal/Others,WS/MP18182/2025-2026/202644-Purchase of hospital equipment,Tamil Nadu,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),"Providing and Supply of Medical Equipment to Pavoorchathiram Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",DR RANI SRI KUMAR,TENKASI(SC),Images,03-Oct-2025,511933.62,WS/MP18182/2025-2026/202644,Normal/Others,511933.62,2025-10-03,TAMIL NADU,TENKASI(SC),DR RANI SRI KUMAR,"Providing and Supply of Medical Equipment to Pavoorchathiram Primary Health Centre in Tenkasi District. (Suction Machine, Fetal Machine, Radian Warmer, ECG Machine, Weighing Machine, Infanto Meter, Nebulizer, BP Apparatus, Fetal Doppler, Stethoscope, Multipara Monitor (Each 1 No))",True
17464,Normal/Others,WS/MP18137/2025-2026/162002-Construction of community centers and community halls,Meghalaya,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),Financial aid to Dorbar Shnong Mawlasnai for construction of Dorbar Hall,ANDREW J. SYNGKON,SHILLONG,Images,01-Apr-2026,256280.75,WS/MP18137/2025-2026/162002,Normal/Others,256280.75,2026-04-01,MEGHALAYA,SHILLONG,ANDREW J. SYNGKON,Financial aid to Dorbar Shnong Mawlasnai for construction of Dorbar Hall,True
17465,Normal/Others,WS/MP18137/2025-2026/161971-Construction of rooms and halls in school and colleges,Meghalaya,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),Financial assistance for construction of classrooms to Mawtneng Upper Primary School,ANDREW J. SYNGKON,SHILLONG,Images,20-Apr-2026,153768.45,WS/MP18137/2025-2026/161971,Normal/Others,153768.45,2026-04-20,MEGHALAYA,SHILLONG,ANDREW J. SYNGKON,Financial assistance for construction of classrooms to Mawtneng Upper Primary School,True
17466,Normal/Others,WS/MP18278/2025-2026/234666-Installing tube-wells and borewells,Chhattisgarh,Sarangarh-Bilaigarh(Collector SB_IDA),DURUG ME BOR KHANAN AVM MOTER PUMP STHAPANA SAHA PANI TANKI NIRAMARAN-5 NAG,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,24-Mar-2026,638438.41,WS/MP18278/2025-2026/234666,Normal/Others,638438.41,2026-03-24,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,DURUG ME BOR KHANAN AVM MOTER PUMP STHAPANA SAHA PANI TANKI NIRAMARAN-5 NAG,True
17467,Normal/Others,WS/MP18052/2025-2026/197252-Purchase of vans and buses for educational institutions,Goa,SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA),"To provide School bus for students for Infant Jusus High School, Cuncolim, Salcete, Goa.",CAPTAIN VIRIATO FERNANDES,SOUTH GOA,Images,30-Sep-2025,1270488.25,WS/MP18052/2025-2026/197252,Normal/Others,1270488.25,2025-09-30,GOA,SOUTH GOA,CAPTAIN VIRIATO FERNANDES,"To provide School bus for students for Infant Jusus High School, Cuncolim, Salcete, Goa.",True
17468,Normal/Others,WS/MP18222/2025-2026/170054-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),lallu yadav ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170054,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,lallu yadav ke ghar ke pass,True
17469,Normal/Others,WS/MP18311/2025-2026/193282-Development of playfields and sports grounds,Punjab,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),Construction of basket ball ground at village Khizarabad,MALVINDER SINGH KANG,ANANDPUR SAHIB,Images,24-Feb-2026,256280.75,WS/MP18311/2025-2026/193282,Normal/Others,256280.75,2026-02-24,PUNJAB,ANANDPUR SAHIB,MALVINDER SINGH KANG,Construction of basket ball ground at village Khizarabad,True
17470,Normal/Others,WS/MP18222/2025-2026/170055-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),mustkeem ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,22-Jul-2026,10245.59,WS/MP18222/2025-2026/170055,Normal/Others,10245.59,2026-07-22,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,mustkeem ke ghar ke pass,True
17471,Normal/Others,WS/MP18222/2025-2026/170056-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),umakant yadav ke makan ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170056,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,umakant yadav ke makan ke pass,True
17472,Normal/Others,WS/MP18222/2025-2026/170057-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),chandrabhan navik ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170057,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,chandrabhan navik ke ghar ke pass,True
17473,Normal/Others,WS/MP18222/2025-2026/170059-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),amarnath yadav ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170059,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,amarnath yadav ke ghar ke pass,True
17474,Normal/Others,WS/MP18222/2025-2026/170068-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),anil gautam ke makan ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170068,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,anil gautam ke makan ke pass,True
17475,Normal/Others,WS/MP18222/2025-2026/170069-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),ray sahab saroj ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170069,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,ray sahab saroj ke ghar ke pass,True
17476,Normal/Others,WS/MP18222/2025-2026/170072-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),rahul yadav ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170072,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,rahul yadav ke ghar ke pass,True
17477,Normal/Others,WS/MP18222/2025-2026/170073-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),phoolchand yadav,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170073,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,phoolchand yadav,True
17478,Normal/Others,WS/MP18222/2025-2026/170074-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),ravindra gautam ke ghar ke pass,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170074,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,ravindra gautam ke ghar ke pass,True
17479,Normal/Others,WS/MP18222/2025-2026/170075-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),santosh kharwar,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170075,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,santosh kharwar,True
17480,Normal/Others,WS/MP18222/2025-2026/170076-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),sanjay yadav,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170076,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,sanjay yadav,True
17481,Normal/Others,WS/MP18222/2025-2026/170077-Street lights,Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),ajay yadav,BABU SINGH KUSHWAHA,JAUNPUR,Images,30-Jul-2026,10245.59,WS/MP18222/2025-2026/170077,Normal/Others,10245.59,2026-07-30,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,ajay yadav,True
17482,Normal/Others,WS/MP18113/2025-2026/192641-Construction of community centers and community halls,Maharashtra,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),SHIRASGAON TQ KANNAD GUT NO 163 CONSTRUCTION OF COMMUNITY HALLS,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,Images,03-Oct-2025,509763.94,WS/MP18113/2025-2026/192641,Normal/Others,509763.94,2025-10-03,MAHARASHTRA,AURANGABAD_MH,BHUMARE SANDIPANRAO ASARAM,SHIRASGAON TQ KANNAD GUT NO 163 CONSTRUCTION OF COMMUNITY HALLS,True
17483,Normal/Others,"WS/MP468/2025-2026/186332-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA),constructon of CC-Apex and culvert at Dagaghat Nala in village Pipariya Pali Block Birdha.,Anurag Sharma,JHANSI,Images,17-Mar-2026,734276.65,WS/MP468/2025-2026/186332,Normal/Others,734276.65,2026-03-17,UTTAR PRADESH,JHANSI,ANURAG SHARMA,constructon of CC-Apex and culvert at Dagaghat Nala in village Pipariya Pali Block Birdha.,True
17484,Normal/Others,WS/MP329/2025-2026/227545-Purchase of mobile water tankers,Haryana,BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani),Purchase and Providing one tractor and water tanker for drinking water purposes,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,,21-Oct-2025,287034.44,WS/MP329/2025-2026/227545,Normal/Others,287034.44,2025-10-21,HARYANA,BHIWANI MAHENDRAGARH,SHRI  DHARAMBIR SINGH,Purchase and Providing one tractor and water tanker for drinking water purposes,False
17485,Normal/Others,WS/MP18081/2025-2026/156857-Construction of community centers and community halls,Karnataka,CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),Construction of press club association building Chikkaballpur,DR.K.SUDHAKAR,CHIKBALLAPUR,Images,11-Mar-2026,512561.5,WS/MP18081/2025-2026/156857,Normal/Others,512561.5,2026-03-11,KARNATAKA,CHIKBALLAPUR,DR.K.SUDHAKAR,Construction of press club association building Chikkaballpur,True
17486,Normal/Others,WS/MP329/2025-2026/221623-Purchase of mobile water tankers,Haryana,BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani),Purchase and supply of 1 water tank to GP for drinking water purposes,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,,14-Dec-2025,92261.07,WS/MP329/2025-2026/221623,Normal/Others,92261.07,2025-12-14,HARYANA,BHIWANI MAHENDRAGARH,SHRI  DHARAMBIR SINGH,Purchase and supply of 1 water tank to GP for drinking water purposes,False
17487,Normal/Others,WS/MP18263/2025-2026/166163-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),"Chikmagalur District, Kadur Taluk, Nagenahalli Grama panchayath, construction work of Huwadigar community hall of Agrahara village.",KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Images,19-Aug-2026,256280.75,WS/MP18263/2025-2026/166163,Normal/Others,256280.75,2026-08-19,KARNATAKA,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY,"Chikmagalur District, Kadur Taluk, Nagenahalli Grama panchayath, construction work of Huwadigar community hall of Agrahara village.",True
17488,Normal/Others,WS/MP18225/2025-2026/151084-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Bachha Saroj Son of  Jagdeesh Saroj add.- ward 09, Eadha Babaganj ke ghar ke samne hundpump",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/151084,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Bachha Saroj Son of  Jagdeesh Saroj add.- ward 09, Eadha Babaganj ke ghar ke samne hundpump",True
17489,Normal/Others,WS/MP18225/2025-2026/151086-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Priyam Tripathi Son of Jagat Nayaran Add.- ward no 9 Eandha Babaganj ke ghar ke samne hundpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,11-Feb-2026,26028.39,WS/MP18225/2025-2026/151086,Normal/Others,26028.39,2026-02-11,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,Priyam Tripathi Son of Jagat Nayaran Add.- ward no 9 Eandha Babaganj ke ghar ke samne hundpump,True
17490,Normal/Others,"WS/MP490/2024-2025/187425-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),"Interlocking work in Kadipur ward no. 9 from Munnu Chaurasias house to Mamta Sonkars house near Jaidurg Nagar Colony in Kadipur Shivpur, length 53 m",Shri Narendra Modi,VARANASI,Images,30-Sep-2025,148000.08,WS/MP490/2024-2025/187425,Normal/Others,148000.08,2025-09-30,UTTAR PRADESH,VARANASI,SHRI NARENDRA MODI,"Interlocking work in Kadipur ward no. 9 from Munnu Chaurasias house to Mamta Sonkars house near Jaidurg Nagar Colony in Kadipur Shivpur, length 53 m",True
17491,Normal/Others,"WS/MP490/2024-2025/187266-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Road construction (pitch) in Nadesar Ward no. 34 from S 17-314 D Nadesar to S 17-314-A-G Nadesar. Length 38 m,Shri Narendra Modi,VARANASI,Images,30-Sep-2025,104392.38,WS/MP490/2024-2025/187266,Normal/Others,104392.38,2025-09-30,UTTAR PRADESH,VARANASI,SHRI NARENDRA MODI,Road construction (pitch) in Nadesar Ward no. 34 from S 17-314 D Nadesar to S 17-314-A-G Nadesar. Length 38 m,True
17492,Normal/Others,WS/MP18225/2025-2026/174374-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Siddhanath Yadav son of Kadedeen Yadav Add Malawa Chhajaipur, Bihar, Kunda ke ghar ke samne handpump ka karya",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/174374,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Siddhanath Yadav son of Kadedeen Yadav Add Malawa Chhajaipur, Bihar, Kunda ke ghar ke samne handpump ka karya",True
17493,Normal/Others,WS/MP18225/2025-2026/174373-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Madan Saroj son of Shri Ram Awatar Add Shakardaha, Bihar, Kunda ke ghar ke samne handpump ka karya",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/174373,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Madan Saroj son of Shri Ram Awatar Add Shakardaha, Bihar, Kunda ke ghar ke samne handpump ka karya",True
17494,Normal/Others,WS/MP18225/2025-2026/174377-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Bhola Saroj son of Shri Chokhe Saroj Add Mohiddi Nagar, Bihar, Kunda ke ghar ke samne handpump ka karya",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/174377,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Bhola Saroj son of Shri Chokhe Saroj Add Mohiddi Nagar, Bihar, Kunda ke ghar ke samne handpump ka karya",True
17495,Normal/Others,WS/MP393/2025-2026/167612-Construction of buildings for community cultural activities,Tamil Nadu,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),"Construction of Drama Stage at S. Karaikudi Village, S. Karaikudi Panchayat in Ilayankudi Block",Shri Karti P Chidambaram,SIVAGANGA,Images,30-Sep-2025,484209.68,WS/MP393/2025-2026/167612,Normal/Others,484209.68,2025-09-30,TAMIL NADU,SIVAGANGA,SHRI KARTI P CHIDAMBARAM,"Construction of Drama Stage at S. Karaikudi Village, S. Karaikudi Panchayat in Ilayankudi Block",True
17496,Normal/Others,"WS/MP490/2024-2025/187268-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),"Road construction in jagatganj Ward no. 61 Lacchipura Colony Nadesar, pitch. Length 63 m",Shri Narendra Modi,VARANASI,Images,30-Sep-2025,152233.84,WS/MP490/2024-2025/187268,Normal/Others,152233.84,2025-09-30,UTTAR PRADESH,VARANASI,SHRI NARENDRA MODI,"Road construction in jagatganj Ward no. 61 Lacchipura Colony Nadesar, pitch. Length 63 m",True
17497,Normal/Others,WS/MP18225/2025-2026/174419-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Ram Abhilash Yadav Son of Shri Tulasiram Add Ahiran, Gogaur, Bihar, Kunda ke ghar ke samne handpump ka karya",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,26028.39,WS/MP18225/2025-2026/174419,Normal/Others,26028.39,2026-02-12,UTTAR PRADESH,KAUSHAMBI(SC),PUSHPENDRA SAROJ,"Ram Abhilash Yadav Son of Shri Tulasiram Add Ahiran, Gogaur, Bihar, Kunda ke ghar ke samne handpump ka karya",True
